division,region,heatdd,cooldd,tempjan,tempjuly,agecat
Pacific,West,2068.0,357.0,54.6,65.7,30-34
Pacific,West,2068.0,357.0,54.6,65.7,30-34
Pacific,West,2068.0,357.0,54.6,65.7,30-34
Pacific,West,1532.0,1281.0,54.8,74.8,30-34
Pacific,West,1532.0,1281.0,54.8,74.8,30-34
Pacific,West,1532.0,1281.0,54.8,74.8,30-34
Pacific,West,1532.0,1281.0,54.8,74.8,30-34
Pacific,West,1532.0,1281.0,54.8,74.8,30-34
Pacific,West,1532.0,1281.0,54.8,74.8,30-34
Pacific,West,1532.0,1281.0,54.8,74.8,30-34
Pacific,West,1532.0,1281.0,54.8,74.8,30-34
Pacific,West,1532.0,1281.0,54.8,74.8,30-34
Pacific,West,1532.0,1281.0,54.8,74.8,30-34
Pacific,West,1644.0,1118.0,54.9,73.5,30-34
Pacific,West,1644.0,1118.0,54.9,73.5,30-34
Pacific,West,1644.0,1118.0,54.9,73.5,30-34
Pacific,West,1644.0,1118.0,54.9,73.5,30-34
Pacific,West,1644.0,1118.0,54.9,73.5,30-34
Pacific,West,1644.0,1118.0,54.9,73.5,30-34
Pacific,West,1644.0,1118.0,54.9,73.5,30-34
Pacific,West,1644.0,1118.0,54.9,73.5,30-34
Pacific,West,1550.0,1299.0,55.0,74.7,30-34
Pacific,West,1550.0,1299.0,55.0,74.7,30-34
Pacific,West,1550.0,1299.0,55.0,74.7,30-34
Pacific,West,1719.0,677.0,55.1,69.1,30-34
Pacific,West,1719.0,677.0,55.1,69.1,30-34
Pacific,West,1109.0,3820.0,55.1,91.7,30-34
Pacific,West,1719.0,677.0,55.1,69.1,30-34
Pacific,West,1719.0,677.0,55.1,69.1,30-34
Pacific,West,1719.0,677.0,55.1,69.1,30-34
Pacific,West,1719.0,677.0,55.1,69.1,30-34
Pacific,West,1719.0,677.0,55.1,69.1,30-34
Pacific,West,1719.0,677.0,55.1,69.1,30-34
Pacific,West,1719.0,677.0,55.1,69.1,30-34
Pacific,West,1485.0,1091.0,55.2,72.8,30-34
Pacific,West,1485.0,1091.0,55.2,72.8,30-34
Pacific,West,1485.0,1091.0,55.2,72.8,30-34
Pacific,West,1485.0,1091.0,55.2,72.8,30-34
Pacific,West,1485.0,1091.0,55.2,72.8,30-34
Pacific,West,1529.0,1893.0,55.3,78.7,30-34
Pacific,West,1529.0,1893.0,55.3,78.7,30-34
Pacific,West,1567.0,986.0,55.4,71.8,30-34
Pacific,West,1567.0,986.0,55.4,71.8,30-34
Pacific,West,1430.0,1089.0,55.9,72.2,30-34
Pacific,West,1430.0,1089.0,55.9,72.2,30-34
Pacific,West,1430.0,1089.0,55.9,72.2,30-34
Pacific,West,1430.0,1089.0,55.9,72.2,30-34
Mountain,West,983.0,4244.0,55.9,93.6,30-34
Pacific,West,1430.0,1089.0,55.9,72.2,30-34
Pacific,West,1430.0,1089.0,55.9,72.2,30-34
Pacific,West,1595.0,728.0,56.0,69.0,30-34
Pacific,West,1595.0,728.0,56.0,69.0,35+
Pacific,West,1873.0,438.0,56.4,65.8,35+
Pacific,West,1517.0,770.0,56.5,69.2,35+
Pacific,West,1517.0,770.0,56.5,69.2,35+
Pacific,West,1517.0,770.0,56.5,69.2,35+
Pacific,West,1284.0,842.0,56.8,70.3,35+
Pacific,West,1284.0,842.0,56.8,70.3,35+
Pacific,West,1204.0,1339.0,57.2,74.1,35+
Pacific,West,1204.0,1339.0,57.2,74.1,35+
Pacific,West,1204.0,1339.0,57.2,74.1,35+
Pacific,West,1204.0,1339.0,57.2,74.1,35+
Pacific,West,1204.0,1339.0,57.2,74.1,35+
Pacific,West,1204.0,1339.0,57.2,74.1,35+
Pacific,West,1204.0,1339.0,57.2,74.1,35+
Pacific,West,1204.0,1339.0,57.2,74.1,35+
Pacific,West,1509.0,796.0,57.5,68.7,35+
Pacific,West,0.0,3329.0,71.1,76.6,35+
Pacific,West,0.0,3329.0,71.1,76.6,35+
Pacific,West,0.0,3134.0,71.4,75.4,35+
Pacific,West,0.0,4389.0,72.6,80.1,35+
Pacific,West,0.0,4389.0,72.6,80.1,35+
Pacific,West,0.0,4389.0,72.6,80.1,35+
Pacific,West,0.0,4389.0,72.6,80.1,35+
